"","participant","condition","mean_dev"
"478","ims25","spondee",-0.0633333333333333
"479","ims25","stressed_spondee",-0.0633333333333334
"480","ims25","trochee",-0.0411111111111111
"481","ims25","unpredictable",-0.33125
"482","ims26","spondee",-0.135
"483","ims26","stressed_spondee",-0.0770833333333333
"484","ims26","trochee",-0.105925925925926
"485","ims26","unpredictable",-0.257407407407407
"486","ims27","spondee",-0.08
"487","ims27","stressed_spondee",-0.0722222222222222
"488","ims27","trochee",0.0203703703703704
"489","ims27","unpredictable",0.0472222222222222
"490","ims28","spondee",-0.0333333333333333
"491","ims28","stressed_spondee",-0.0611111111111111
"492","ims28","trochee",-0.177777777777778
"493","ims28","unpredictable",-0.147222222222222
"494","ims29","spondee",0.045
"495","ims29","stressed_spondee",0.015
"496","ims29","trochee",0.0174074074074074
"497","ims29","unpredictable",-0.0319444444444444
"498","ims30","spondee",-0.015
"499","ims30","stressed_spondee",-0.025
"500","ims30","trochee",-0.024
"501","ims30","unpredictable",-0.025
"502","ims31","spondee",-0.05
"503","ims31","stressed_spondee",-0.0333333333333333
"504","ims31","trochee",-0.225
"505","ims31","unpredictable",-0.116666666666667
"506","ims32","spondee",-0.0566666666666667
"507","ims32","stressed_spondee",1.53896475038915e-18
"508","ims32","trochee",-0.025
"509","ims32","unpredictable",-0.0041666666666666
"510","mon01","stressed_spondee",0.025
"511","mon01","trochee",-0.115555555555556
"512","mon01","unpredictable",0.125
"513","mon02","spondee",-0.00166666666666667
"514","mon02","stressed_spondee",0.00333333333333332
"515","mon02","trochee",-0.124444444444444
"516","mon02","unpredictable",0.0402777777777778
"517","mon03","spondee",-0.171666666666667
"518","mon03","stressed_spondee",-0.025
"519","mon03","trochee",-0.092
"520","mon03","unpredictable",-0.263333333333333
"521","mon04","spondee",-0.218333333333333
"522","mon04","stressed_spondee",-0.0925925925925926
"523","mon04","trochee",-0.18875
"524","mon04","unpredictable",-0.179166666666667
"525","mon05","spondee",-0.403333333333333
"526","mon05","stressed_spondee",-0.406666666666667
"527","mon05","trochee",-0.424
"528","mon05","unpredictable",-0.423333333333333
"529","mon06","spondee",-0.325
"530","mon06","stressed_spondee",-0.323333333333333
"531","mon06","trochee",-0.372962962962963
"532","mon06","unpredictable",-0.391666666666667
"533","mon07","spondee",-0.0104166666666667
"534","mon07","stressed_spondee",-0.05
"535","mon07","trochee",-0.225333333333333
"536","mon07","unpredictable",-0.05
"537","mon08","spondee",-0.473333333333333
"538","mon08","stressed_spondee",-0.391666666666667
"539","mon08","trochee",-0.473
"540","mon08","unpredictable",-0.296666666666667
"541","mon09","spondee",-0.146666666666667
"542","mon09","stressed_spondee",-0.0683333333333333
"543","mon09","trochee",-0.0866666666666667
"544","mon09","unpredictable",-0.293055555555556
"545","mon10","spondee",-0.518333333333333
"546","mon10","stressed_spondee",-0.381666666666667
"547","mon10","trochee",-0.525
"548","mon10","unpredictable",-0.210185185185185
"549","mon11","spondee",-0.177777777777778
"550","mon11","stressed_spondee",-0.0458333333333333
"551","mon11","trochee",-0.161666666666667
"552","mon11","unpredictable",0.00833333333333341
"553","mon13","spondee",-0.476666666666667
"554","mon13","stressed_spondee",-0.424074074074074
"555","mon13","trochee",-0.479666666666667
"556","mon13","unpredictable",-0.515
"557","mon14","spondee",-0.00333333333333334
"558","mon14","stressed_spondee",-0.0416666666666667
"559","mon14","trochee",-0.136333333333333
"560","mon14","unpredictable",-0.188095238095238
"561","mon15","spondee",-0.205
"562","mon15","stressed_spondee",-0.196296296296296
"563","mon15","trochee",-0.226190476190476
"564","mon15","unpredictable",-0.188888888888889
"565","mon16","spondee",0.0380952380952381
"566","mon16","stressed_spondee",-0.01875
"567","mon16","trochee",-0.151111111111111
"568","mon16","unpredictable",-0.179166666666667
"569","mon17","spondee",-0.218518518518519
"570","mon17","stressed_spondee",-0.155
"571","mon17","trochee",-0.295
"572","mon17","unpredictable",-0.35
"573","mon18","spondee",-0.0333333333333333
"574","mon18","stressed_spondee",-0.02
"575","mon18","trochee",-0.0666666666666667
"576","mon18","unpredictable",-0.101190476190476
"577","mon19","spondee",-0.343333333333333
"578","mon19","stressed_spondee",-0.333333333333333
"579","mon19","trochee",-0.32
"580","mon19","unpredictable",-0.325833333333333
"581","mon20","spondee",-0.395
"582","mon20","stressed_spondee",-0.288888888888889
"583","mon20","trochee",-0.339259259259259
"584","mon20","unpredictable",-0.289166666666667
"585","mon21","spondee",-0.445
"586","mon21","stressed_spondee",-0.361111111111111
"587","mon21","trochee",-0.427
"588","mon21","unpredictable",-0.4
"589","mon22","spondee",-0.145
"590","mon22","stressed_spondee",-0.0777777777777778
"591","mon22","trochee",-0.255333333333333
"592","mon22","unpredictable",-0.1625
"593","mon23","spondee",-0.458333333333333
"594","mon23","stressed_spondee",-0.463333333333333
"595","mon23","trochee",-0.334
"596","mon23","unpredictable",-0.446666666666667
"597","mon24","spondee",-0.505
"598","mon24","stressed_spondee",-0.481666666666667
"599","mon24","trochee",-0.317666666666667
"600","mon24","unpredictable",-0.506666666666667
"601","mon25","spondee",0.0333333333333333
"602","mon25","stressed_spondee",-0.0333333333333333
"603","mon25","trochee",-0.242777777777778
"604","mon25","unpredictable",-0.15
"605","mon26","spondee",-0.17037037037037
"606","mon26","stressed_spondee",6.59127158235406e-18
"607","mon26","trochee",-0.0709523809523809
"608","mon26","unpredictable",0.0354166666666667
"609","mon27","spondee",-0.468333333333333
"610","mon27","stressed_spondee",-0.446666666666667
