"","participant","base_note","direction","rt"
"643","aes07","SOL","down",0.733333333333333
"644","aes08","SOL","down",0.454166666666667
"645","aes09","SOL","down",1.00833333333333
"646","aes10","SOL","down",0.602083333333333
"647","aes11","SOL","down",0.54375
"648","aes12","SOL","down",1.30333333333333
"649","aes13","SOL","down",1.30833333333333
"650","aes14","SOL","down",0.464583333333333
"651","aes15","SOL","down",1.55416666666667
"652","aes16","SOL","down",0.395833333333333
"653","aes17","SOL","down",0.360416666666667
"654","aes18","SOL","down",0.435416666666667
"655","aes19","SOL","down",0.585416666666667
"656","aes20","SOL","down",0.61875
"657","aes21","SOL","down",0.55
"658","aes22","SOL","down",0.566666666666667
"659","aes23","SOL","down",0.48125
"660","aes24","SOL","down",1.22777777777778
"661","aes25","SOL","down",0.55625
"662","aes26","SOL","down",0.48125
"663","aes27","SOL","down",1.34722222222222
"664","aes28","SOL","down",0.522916666666667
"665","aes29","SOL","down",0.81875
"666","aes30","SOL","down",0.313888888888889
"667","aes31","SOL","down",0.529166666666667
"668","aes32","SOL","down",1.14375
"669","ams01","SOL","down",0.633333333333333
"670","ams02","SOL","down",1.50277777777778
"671","ams03","SOL","down",0.4125
"672","ams04","SOL","down",0.56875
"673","ams05","SOL","down",1.57777777777778
"674","ams06","SOL","down",0.707142857142857
"675","ams07","SOL","down",0.439583333333333
"676","ams08","SOL","down",0.7625
"677","ams09","SOL","down",1.30238095238095
"678","ams10","SOL","down",0.879166666666667
"679","ams11","SOL","down",1.34761904761905
"680","ams12","SOL","down",0.713333333333333
"681","ams13","SOL","down",0.389583333333333
"682","ams14","SOL","down",0.538095238095238
"683","ams15","SOL","down",0.680952380952381
"684","ams16","SOL","down",0.533333333333333
"685","ams17","SOL","down",0.3875
"686","ams18","SOL","down",0.919444444444444
"687","ams19","SOL","down",0.858333333333333
"688","ams20","SOL","down",0.720833333333333
"689","ams21","SOL","down",0.730952380952381
"690","ams22","SOL","down",0.528571428571429
"691","ams23","SOL","down",0.63125
"692","ams24","SOL","down",0.911111111111111
"693","ams25","SOL","down",0.520833333333333
"694","ams26","SOL","down",0.929166666666667
"695","ams27","SOL","down",0.595238095238095
"696","ams28","SOL","down",1.03125
"697","ams29","SOL","down",0.626190476190476
"698","ams30","SOL","down",1.22083333333333
"699","ams31","SOL","down",1.63095238095238
"700","ams32","SOL","down",1.31904761904762
"701","ies01","SOL","down",0.45
"702","ies02","SOL","down",0.5
"703","ies03","SOL","down",0.447916666666667
"704","ies04","SOL","down",0.94375
"705","ies05","SOL","down",0.439583333333333
"706","ies06","SOL","down",0.425
"707","ies07","SOL","down",0.503333333333333
"708","ies08","SOL","down",0.9
"709","ies09","SOL","down",0.4875
"710","ies10","SOL","down",0.99375
"711","ies11","SOL","down",0.570833333333333
"712","ies12","SOL","down",0.78125
"713","ies13","SOL","down",0.81875
"714","ies14","SOL","down",1.08333333333333
"715","ies15","SOL","down",0.760416666666667
"716","ies16","SOL","down",1.2
